статус;id;персоналии_файл1;персоналии_файл2;добавлено;удалено
изменено;1.0;саваоф, младенец, богоматерь, ангелы, апостол петр, преподобный антоний печерский, преподобный феодосий печерский, преподобный алипий печерский, моисей угрин, прохор, марк, конные и пешие воины;саваоф, младенец, богоматерь, ангелы, апостол петр, преподобный антоний печерский, преподобный феодосий печерский, преподобный алипий печерский, преподобный моисей угрин, прохор, марк, воины;воины, преподобный моисей угрин;конные и пешие воины, моисей угрин
в обоих файлах;2.0;младенец, богоматерь;младенец, богоматерь;;
в обоих файлах;3.0;богоматерь, младенец;богоматерь, младенец;;
в обоих файлах;4.0;младенец, богоматерь;младенец, богоматерь;;
изменено;5.0;младенец, богоматерь, архангел михаил, первомученик стефан, николай чудотворец, преподобная евдокия;младенец, богоматерь, архангел михаил, архидиакон стефан, святитель николай, преподобная евдокия;архидиакон стефан, святитель николай;николай чудотворец, первомученик стефан
изменено;6.0;младенец, богоматерь, ангелы, иоанн предтеча, пророк аарон, пророк исайя, пророк давид, пророк иезекииль, пророк илия, пророк иеремия, пророк самуил, пророк нафан, пророк елисей, три святые жены;младенец, богоматерь, ангелы, пророк иоанн предтеча, пророк аарон, пророк исаия, царь и пророк давид, пророк иезекииль, пророк илия, пророк иеремия, пророк самуил, пророк нафан, пророк елисей, жены мироносицы;жены мироносицы, пророк иоанн предтеча, пророк исаия, царь и пророк давид;иоанн предтеча, пророк давид, пророк исайя, три святые жены
в обоих файлах;7.0;младенец, богоматерь;младенец, богоматерь;;
в обоих файлах;8.0;младенец, богоматерь;младенец, богоматерь;;
в обоих файлах;9.0;младенец, богоматерь;младенец, богоматерь;;
в обоих файлах;10.0;младенец, богоматерь;младенец, богоматерь;;
изменено;11.0;богоматерь, ангел хранитель, святитель николай чудотворец, святитель  лев, папа римский;богоматерь, ангел хранитель, святитель николай, святитель лев, папа римский;святитель лев, святитель николай;святитель  лев, святитель николай чудотворец
в обоих файлах;12.0;богоматерь, святитель алексий московский, преподобный петр афонский;богоматерь, святитель алексий московский, преподобный петр афонский;;
в обоих файлах;13.0;младенец, богоматерь, молящиеся;младенец, богоматерь, молящиеся;;
изменено;14.0;богоматерь, младенец, иоанн предтеча, архангелы;богоматерь, младенец, пророк иоанн предтеча, архангелы;пророк иоанн предтеча;иоанн предтеча
изменено;15.0;богоматерь, младенец, иоанн предтеча, архангелы;богоматерь, младенец, пророк иоанн предтеча, архангелы;пророк иоанн предтеча;иоанн предтеча
в обоих файлах;16.0;богоматерь, алексий человек божий, святитель нифонт, преподобный илларион новый;богоматерь, алексий человек божий, святитель нифонт, преподобный илларион новый;;
изменено;17.0;младенец, богоматерь, иоанн предтеча, ангелы;младенец, богоматерь, пророк иоанн предтеча, ангелы;пророк иоанн предтеча;иоанн предтеча
в обоих файлах;19.0;богоматерь, младенец, святители ростовские;богоматерь, младенец, святители ростовские;;
в обоих файлах;20.0;младенец, богоматерь, ангелы, избранные святые;младенец, богоматерь, ангелы, избранные святые;;
в обоих файлах;21.0;младенец, богоматерь, святые;младенец, богоматерь, святые;;
в обоих файлах;22.0;младенец, богоматерь, благоверный князь андрей боголюбский;младенец, богоматерь, благоверный князь андрей боголюбский;;
в обоих файлах;23.0;богоматерь;богоматерь;;
в обоих файлах;24.0;богоматерь;богоматерь;;
в обоих файлах;25.0;богоматерь, служанка;богоматерь, служанка;;
в обоих файлах;26.0;богоматерь;богоматерь;;
в обоих файлах;27.0;богоматерь;богоматерь;;
в обоих файлах;28.0;богоматерь;богоматерь;;
в обоих файлах;29.0;богоматерь;богоматерь;;
в обоих файлах;30.0;богоматерь;богоматерь;;
в обоих файлах;31.0;богоматерь;богоматерь;;
в обоих файлах;32.0;богоматерь;богоматерь;;
в обоих файлах;33.0;богоматерь;богоматерь;;
в обоих файлах;34.0;богоматерь;богоматерь;;
в обоих файлах;35.0;богоматерь;богоматерь;;
в обоих файлах;36.0;богоматерь;богоматерь;;
в обоих файлах;37.0;богоматерь;богоматерь;;
в обоих файлах;38.0;богоматерь;богоматерь;;
в обоих файлах;39.0;богоматерь;богоматерь;;
в обоих файлах;40.0;богоматерь;богоматерь;;
в обоих файлах;41.0;богоматерь;богоматерь;;
в обоих файлах;42.0;богоматерь;богоматерь;;
в обоих файлах;43.0;богоматерь;богоматерь;;
в обоих файлах;44.0;богоматерь;богоматерь;;
в обоих файлах;45.0;богоматерь;богоматерь;;
в обоих файлах;46.0;богоматерь;богоматерь;;
в обоих файлах;47.0;богоматерь;богоматерь;;
в обоих файлах;48.0;богоматерь;богоматерь;;
в обоих файлах;49.0;богоматерь;богоматерь;;
в обоих файлах;50.0;богоматерь;богоматерь;;
в обоих файлах;51.0;богоматерь;богоматерь;;
в обоих файлах;52.0;богоматерь;богоматерь;;
в обоих файлах;53.0;богоматерь;богоматерь;;
в обоих файлах;54.0;богоматерь;богоматерь;;
в обоих файлах;55.0;богоматерь;богоматерь;;
в обоих файлах;56.0;богоматерь;богоматерь;;
в обоих файлах;57.0;богоматерь;богоматерь;;
в обоих файлах;58.0;богоматерь;богоматерь;;
в обоих файлах;59.0;богоматерь;богоматерь;;
в обоих файлах;60.0;богоматерь;богоматерь;;
в обоих файлах;61.0;богоматерь;богоматерь;;
в обоих файлах;62.0;богоматерь, архангел михаил, архангел гавриил;богоматерь, архангел михаил, архангел гавриил;;
в обоих файлах;63.0;богоматерь;богоматерь;;
в обоих файлах;64.0;богоматерь;богоматерь;;
в обоих файлах;65.0;богоматерь;богоматерь;;
изменено;68.0;богоматерь, апостол иоанн;богоматерь, апостол иоанн богослов;апостол иоанн богослов;апостол иоанн
в обоих файлах;69.0;богоматерь, младенец;богоматерь, младенец;;
изменено;70.0;богоматерь, младенец, архангел, святитель николай чудотворец;богоматерь, младенец, архангел, святитель николай;святитель николай;святитель николай чудотворец
изменено;71.0;богоматерь, младенец, святитель николай, святитель иаков ростовский, святитель игнатий ростовский, святитель леонтий ростовский, святитель исаия ростовский, преподобный сергий радонежский, святитель алексий московский, преподобный зосима соловецкий, святитель исидор твердислов, преподобный святитель авраамий, иоанн богослов, иоанн предтеча, преподобный савватий соловецкий, никита столпник, великомученица екатерина;богоматерь, младенец, святитель николай, святитель иаков ростовский, святитель игнатий ростовский, святитель леонтий ростовский, святитель исайя ростовский, преподобный сергий радонежский, святитель алексий московский, преподобный зосима соловецкий, блаженный исидор ростовский, святитель авраамий, апостол иоанн богослов, пророк иоанн предтеча, преподобный савватий соловецкий, преподобный никита столпник переславский, великомученица екатерина;апостол иоанн богослов, блаженный исидор ростовский, преподобный никита столпник переславский, пророк иоанн предтеча, святитель авраамий, святитель исайя ростовский;иоанн богослов, иоанн предтеча, никита столпник, преподобный святитель авраамий, святитель исаия ростовский, святитель исидор твердислов
в обоих файлах;74.0;богоматерь, младенец, ангелы;богоматерь, младенец, ангелы;;
в обоих файлах;75.0;богоматерь, младенец, ангелы;богоматерь, младенец, ангелы;;
в обоих файлах;76.0;богоматерь, младенец;богоматерь, младенец;;
в обоих файлах;77.0;богоматерь, младенец, ангелы;богоматерь, младенец, ангелы;;
в обоих файлах;78.0;богоматерь, младенец;богоматерь, младенец;;
в обоих файлах;79.0;богоматерь, младенец;богоматерь, младенец;;
в обоих файлах;80.0;богоматерь, младенец, ангелы;богоматерь, младенец, ангелы;;
в обоих файлах;81.0;богоматерь, младенец;богоматерь, младенец;;
в обоих файлах;82.0;богоматерь, младенец;богоматерь, младенец;;
в обоих файлах;83.0;богоматерь, младенец;богоматерь, младенец;;
в обоих файлах;84.0;богоматерь, младенец;богоматерь, младенец;;
в обоих файлах;85.0;богоматерь, младенец;богоматерь, младенец;;
в обоих файлах;86.0;богоматерь, младенец;богоматерь, младенец;;
в обоих файлах;87.0;богоматерь, младенец;богоматерь, младенец;;
в обоих файлах;88.0;богоматерь, младенец;богоматерь, младенец;;
в обоих файлах;89.0;богоматерь, младенец, ангелы;богоматерь, младенец, ангелы;;
в обоих файлах;90.0;богоматерь, младенец, ангелы;богоматерь, младенец, ангелы;;
в обоих файлах;91.0;богоматерь, младенец, святитель григорий двоеслов, папа римский, преподобный ефрем сирин, преподобный зосима пустынник, алексий человек божий, священномученик власий, священномученик антипа, преподобная мария египетская;богоматерь, младенец, святитель григорий двоеслов, папа римский, преподобный ефрем сирин, преподобный зосима пустынник, алексий человек божий, священномученик власий, священномученик антипа, преподобная мария египетская;;
в обоих файлах;92.0;богоматерь, младенец, святитель никита новгородский;богоматерь, младенец, святитель никита новгородский;;
изменено;94.0;богоматерь, младенец, пророк давид, пророк соломон;богоматерь, младенец, царь и пророк давид, пророк соломон;царь и пророк давид;пророк давид
в обоих файлах;95.0;богоматерь, младенец, архангел михаил, архангел гавриил;богоматерь, младенец, архангел михаил, архангел гавриил;;
в обоих файлах;96.0;богоматерь, младенец, ангелы;богоматерь, младенец, ангелы;;
изменено;97.0;богоматерь, младенец, ангелы, мученик;богоматерь, младенец, ангелы;;мученик
изменено;98.0;богоматерь, младенец, мученик никита, великомученица анастасия;богоматерь, младенец, мученик никита, великомученица анастасия узорешительница;великомученица анастасия узорешительница;великомученица анастасия
в обоих файлах;99.0;богоматерь, младенец, ангелы, святитель николай, священномученик климент;богоматерь, младенец, ангелы, святитель николай, священномученик климент;;
в обоих файлах;100.0;спаситель, богоматерь;спаситель, богоматерь;;
