id;Название;Реставрация;Размер;Автор;Школа;Регион;Город;Страна;Материал;Персоналии;датировка окладов;Уточняющая датировка;Век;Страна (хранение);Место хранения;Иконография;Тип изображения;Фрагменты
1.0;Азовская с предстоящими;FALSE;;;;;;;Дерево, левкас, темпера;саваоф, младенец, богоматерь, ангелы, апостол петр, преподобный антоний печерский, преподобный феодосий печерский, преподобный алипий печерский, моисей угрин, прохор, марк, воины;;1701-1710;18.0;Россия;Государственный Исторический музей, Москва;Богоматерь;Ростовое с клеймами;Азов, Кази-Кермен
2.0;Акафистная;FALSE;92 x 71 см;Иван Григорьев Марков;;;;;Дерево, темпера;младенец, богоматерь;;1701-1725;18.0;Россия;Вологодский государственный историко-архитектурный и художественный музей-заповедник;Богоматерь;Многофигурное;Богоматерь с Младенцем (Акафистная)
3.0;Аристократуса;FALSE;57,5 х 43 см;;византийская школа;;;;Дерево, темпера;богоматерь, младенец;;1251-1300;13.0;Византия;Афон, монастырь Ватопед;Богоматерь;Поясное;Богоматерь (Аристократуса), Богоматерь (Аристократуса), Младенец Младенец (Аристократуса)
4.0;Ахтырская;FALSE;123 х 90 см;;ярославская школа;;;;Дерево, темпера;младенец, богоматерь;;1801-1825;19.0;Россия;"Государственный музей-заповедник ""Ростовский Кремль""";Богоматерь;Поясное;
5.0;Ахтырская;TRUE;33 x 28 см;;;нижегородская область;павлово;россия;Дерево, левкас, темпера;младенец, богоматерь, архангел михаил, архидиакон стефан, святитель николай, преподобная евдокия;;1791-1800;18.0;Россия;Частное собрание М.Б. Миндлина;Богоматерь;Поясное с клеймами;
6.0;Белозерская;TRUE;155,5 х 106,3 см;;владимиро-суздальская школа;вологодская область;белозерск;россия;Дерево, темпера;младенец, богоматерь, ангелы, пророк иоанн предтеча, пророк аарон, пророк исайя, царь и пророк давид, пророк иезекииль, пророк илия, пророк иеремия, пророк самуил, пророк нафан, пророк елисей, жены мироносицы;;1201-1250;13.0;Россия;Государственный Русский музей, Санкт-Петербург;Богоматерь;Поясное с клеймами;"Спаситель (Белозерская), Спаситель и Богоматерь (Белозерская), Спаситель (""Белозерская"" икона Богоматери)"
7.0;Благодатное Небо;TRUE;165,0 х 59,0 см;Патракеев Филипп;;;;;Дерево;младенец, богоматерь;;1794;18.0;Россия;"Музей-заповедник ""Щелыково""";Богоматерь;Ростовое;
8.0;Благодатное Небо;FALSE;123,5 x 52,5 см;Иван Казаринов;;;;;Дерево, темпера;младенец, богоматерь;;1741;18.0;Россия;Пермская государственная художественная галерея;Богоматерь;Ростовое;
9.0;"Блаженное Чрево (""Барловская"")";TRUE;31 х 27 см;Иван Авксентиев;;;;;Дерево, темпера, серебро, чеканка, канфарение, чернь, золочение;младенец, богоматерь;;1664;17.0;Россия;Государственный Владимиро-Суздальский историко-архитектурный и художественный музей-заповедник;Богоматерь;Поясное;Спаситель (Блаженное Чрево)
10.0;Блаженное Чрево;FALSE;31 x 26,5 см;Трофим Дорохов;;;;;Дерево, темпера;младенец, богоматерь;;1799;18.0;Россия;Государственный музей истории религии, Санкт-Петербург;Богоматерь;Поясное;
11.0;Боголюбская (левая створка трехстворчатого складня);TRUE;22,6 х 17,8 см;;;архангельская область;;россия;Дерево, левкас, темпера;богоматерь, ангел хранитель, святитель николай, святитель лев, папа римский;;1693;17.0;Россия;Сольвычегодский историко-художественный музей;Богоматерь;Многофигурное;
12.0;Боголюбская с припадающими святителем Алексием Московским и преподобным Петром Афонским;FALSE;110,3 х 78,8 см;;;нижегородская область;нижний новгород;россия;Дерево, левкас, темпера;богоматерь, святитель алексий московский, преподобный петр афонский;;1691-1700;17.0;Россия;Частное собрание Игоря Возякова;Богоматерь;Ростовое;
13.0;Боголюбская;FALSE;;;;;;;Дерево, левкас, темпера;младенец, богоматерь, молящиеся;;;16.0;Россия;Государственный Русский музей, Санкт-Петербург;Богоматерь;Ростовое;
14.0;Боголюбская;TRUE;185 х 105 см;;византийская школа;;;;Дерево, темпера;богоматерь, младенец, пророк иоанн предтеча, архангелы;;1157;12.0;Россия;Успенский собор во Владимире;Богоматерь;Ростовое;
15.0;Боголюбская;TRUE;184,8 х 111 см;;;;;;Дерево, темпера, металл, басма, золочение;богоматерь, младенец, пророк иоанн предтеча, архангелы;;1551-1600;16.0;Россия;Государственный Владимиро-Суздальский историко-архитектурный и художественный музей-заповедник;Богоматерь;Ростовое;Богоматерь (Боголюбская)
16.0;Боголюбская;FALSE;93,0 х 52,0 см;;;;;;Дерево, темпера;богоматерь, алексий человек божий, святитель нифонт, преподобный илларион новый;;1640-1660;17.0;Россия;Храм Воскресения на Дебре в Костроме;Богоматерь;Ростовое;
